2022-08-09 09:16:59.427 [INFO] {54473b1151880917e6671007ce3b655e} {"Accept":["*/*"],"Accept-Encoding":["gzip, deflate, br"],"Authorization":["Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE2NjAyMzc0NDksImlkIjo1MDAsIm5hbWUiOiLmnY7kv4oiLCJvcmlnX2lhdCI6MTY1OTkzNzQ0OX0.Y1sPiY8Bof_GTCDPGrxROrWqV3d9o9r8HUAW29xXpRs"],"Connection":["keep-alive"],"Content-Length":["72"],"Content-Type":["application/json"],"Postman-Token":["82508c9e-d3f2-4493-a249-c2f91d361f12"],"User-Agent":["PostmanRuntime/7.28.4"]} {
    "name": "李俊",
    "page_size": 15,
    "current_page": 1
} 
2022-08-09 09:19:14.360 [INFO] {e820e97b708809173effe7202165c832} {"Accept":["*/*"],"Accept-Encoding":["gzip, deflate, br"],"Authorization":["Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE2NjAyMzc0NDksImlkIjo1MDAsIm5hbWUiOiLmnY7kv4oiLCJvcmlnX2lhdCI6MTY1OTkzNzQ0OX0.Y1sPiY8Bof_GTCDPGrxROrWqV3d9o9r8HUAW29xXpRs"],"Connection":["keep-alive"],"Content-Length":["72"],"Content-Type":["application/json"],"Postman-Token":["75872a80-1b99-4a60-951d-ec2989ef3297"],"User-Agent":["PostmanRuntime/7.28.4"]} {
    "name": "李俊",
    "page_size": 15,
    "current_page": 1
} 
2022-08-09 09:19:57.792 [INFO] {d857af987a880917a5e1e552e050e882} http://127.0.0.1:8000/api/user/lists {"Accept":["*/*"],"Accept-Encoding":["gzip, deflate, br"],"Authorization":["Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE2NjAyMzc0NDksImlkIjo1MDAsIm5hbWUiOiLmnY7kv4oiLCJvcmlnX2lhdCI6MTY1OTkzNzQ0OX0.Y1sPiY8Bof_GTCDPGrxROrWqV3d9o9r8HUAW29xXpRs"],"Connection":["keep-alive"],"Content-Length":["72"],"Content-Type":["application/json"],"Postman-Token":["8d143106-19f4-4e87-9713-bfaa497e2c7b"],"User-Agent":["PostmanRuntime/7.28.4"]} {
    "name": "李俊",
    "page_size": 15,
    "current_page": 1
} 
2022-08-09 09:21:02.695 [INFO] {40173eb589880917ca2750097828b1f0} /api/user/lists {"Accept":["*/*"],"Accept-Encoding":["gzip, deflate, br"],"Authorization":["Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE2NjAyMzc0NDksImlkIjo1MDAsIm5hbWUiOiLmnY7kv4oiLCJvcmlnX2lhdCI6MTY1OTkzNzQ0OX0.Y1sPiY8Bof_GTCDPGrxROrWqV3d9o9r8HUAW29xXpRs"],"Connection":["keep-alive"],"Content-Length":["72"],"Content-Type":["application/json"],"Postman-Token":["352c3c26-82ea-4cb4-9756-fdc0485088d7"],"User-Agent":["PostmanRuntime/7.28.4"]} {
    "name": "李俊",
    "page_size": 15,
    "current_page": 1
} 
2022-08-09 09:21:27.107 [INFO] {88a83c648f880917501ddd64420ba3f7} {"Accept":["*/*"],"Accept-Encoding":["gzip, deflate, br"],"Authorization":["Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE2NjAyMzc0NDksImlkIjo1MDAsIm5hbWUiOiLmnY7kv4oiLCJvcmlnX2lhdCI6MTY1OTkzNzQ0OX0.Y1sPiY8Bof_GTCDPGrxROrWqV3d9o9r8HUAW29xXpRs"],"Connection":["keep-alive"],"Content-Length":["72"],"Content-Type":["application/json"],"Postman-Token":["d68df0b2-84eb-4424-89c2-06ad05e7eae4"],"User-Agent":["PostmanRuntime/7.28.4"]} {
    "name": "李俊",
    "page_size": 15,
    "current_page": 1
} 
2022-08-09 09:22:09.670 [INFO] {5464304d99880917ca13fd02ba70f98f} http://127.0.0.1:8000/api/user/lists?a=1 {"Accept":["*/*"],"Accept-Encoding":["gzip, deflate, br"],"Authorization":["Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE2NjAyMzc0NDksImlkIjo1MDAsIm5hbWUiOiLmnY7kv4oiLCJvcmlnX2lhdCI6MTY1OTkzNzQ0OX0.Y1sPiY8Bof_GTCDPGrxROrWqV3d9o9r8HUAW29xXpRs"],"Connection":["keep-alive"],"Content-Length":["72"],"Content-Type":["application/json"],"Postman-Token":["56318c48-db68-447d-aa4d-647adfa80f80"],"User-Agent":["PostmanRuntime/7.28.4"]} {
    "name": "李俊",
    "page_size": 15,
    "current_page": 1
} 
2022-08-09 10:47:03.481 {002d88113b8d091753d71e76ddc181b2} Every second 
2022-08-09 10:47:04.485 {002d88113b8d091753d71e76ddc181b2} Every second 
2022-08-09 10:47:05.492 {002d88113b8d091753d71e76ddc181b2} Every second 
2022-08-09 10:47:06.489 {002d88113b8d091753d71e76ddc181b2} Every second 
2022-08-09 10:47:07.485 {002d88113b8d091753d71e76ddc181b2} Every second 
2022-08-09 10:47:08.491 {002d88113b8d091753d71e76ddc181b2} Every second 
2022-08-09 10:47:09.484 {002d88113b8d091753d71e76ddc181b2} Every second 
2022-08-09 10:47:10.493 {002d88113b8d091753d71e76ddc181b2} Every second 
2022-08-09 10:47:11.489 {002d88113b8d091753d71e76ddc181b2} Every second 
2022-08-09 10:47:12.481 {002d88113b8d091753d71e76ddc181b2} Every second 
2022-08-09 10:47:13.494 {002d88113b8d091753d71e76ddc181b2} Every second 
2022-08-09 10:47:14.487 {002d88113b8d091753d71e76ddc181b2} Every second 
2022-08-09 10:47:15.493 {002d88113b8d091753d71e76ddc181b2} Every second 
2022-08-09 10:47:16.490 {002d88113b8d091753d71e76ddc181b2} Every second 
2022-08-09 10:47:17.485 {002d88113b8d091753d71e76ddc181b2} Every second 
2022-08-09 10:47:18.489 {002d88113b8d091753d71e76ddc181b2} Every second 
2022-08-09 10:47:19.481 {002d88113b8d091753d71e76ddc181b2} Every second 
2022-08-09 10:47:20.493 {002d88113b8d091753d71e76ddc181b2} Every second 
2022-08-09 10:47:21.483 {002d88113b8d091753d71e76ddc181b2} Every second 
2022-08-09 10:47:22.482 {002d88113b8d091753d71e76ddc181b2} Every second 
2022-08-09 10:48:10.002 {44127a75488d0917d8b3635cf9a2f1b2} Every second 
2022-08-09 10:48:10.998 {44127a75488d0917d8b3635cf9a2f1b2} Every second 
2022-08-09 10:48:20.992 {44127a75488d0917d8b3635cf9a2f1b2} Every second 
2022-08-09 10:48:40.999 {44127a75488d0917d8b3635cf9a2f1b2} Every second 
2022-08-09 10:48:50.992 {44127a75488d0917d8b3635cf9a2f1b2} Every second 
2022-08-09 10:49:00.989 {44127a75488d0917d8b3635cf9a2f1b2} Every second 
2022-08-09 11:35:40.913 {28fe694edf8f0917023bcb475fc5bc54} Every ten second 
2022-08-09 11:35:50.911 {28fe694edf8f0917023bcb475fc5bc54} Every ten second 
2022-08-09 11:36:00.911 {28fe694edf8f0917023bcb475fc5bc54} Every ten second 
2022-08-09 11:36:10.310 {28fe694edf8f0917023bcb475fc5bc54} Every ten second 
2022-08-09 11:36:20.308 {28fe694edf8f0917023bcb475fc5bc54} Every ten second 
2022-08-09 11:36:30.302 {28fe694edf8f0917023bcb475fc5bc54} Every ten second 
2022-08-09 11:36:40.314 {28fe694edf8f0917023bcb475fc5bc54} Every ten second 
2022-08-09 11:36:50.305 {28fe694edf8f0917023bcb475fc5bc54} Every ten second 
2022-08-09 11:37:00.302 {28fe694edf8f0917023bcb475fc5bc54} Every ten second 
2022-08-09 11:37:10.307 {28fe694edf8f0917023bcb475fc5bc54} Every ten second 
2022-08-09 11:37:20.302 {28fe694edf8f0917023bcb475fc5bc54} Every ten second 
2022-08-09 11:37:30.312 {28fe694edf8f0917023bcb475fc5bc54} Every ten second 
2022-08-09 11:37:40.303 {28fe694edf8f0917023bcb475fc5bc54} Every ten second 
2022-08-09 11:37:50.308 {28fe694edf8f0917023bcb475fc5bc54} Every ten second 
2022-08-09 11:38:00.301 {28fe694edf8f0917023bcb475fc5bc54} Every ten second 
2022-08-09 11:38:10.415 {28fe694edf8f0917023bcb475fc5bc54} Every ten second 
2022-08-09 11:38:20.330 {348063d2059009172fd2e304669050f6} Every ten second 
2022-08-09 11:38:30.336 {348063d2059009172fd2e304669050f6} Every ten second 
2022-08-09 11:38:40.334 {348063d2059009172fd2e304669050f6} Every ten second 
2022-08-09 11:38:50.333 {348063d2059009172fd2e304669050f6} Every ten second 
2022-08-09 11:39:00.328 {348063d2059009172fd2e304669050f6} Every ten second 
2022-08-09 11:39:10.324 {348063d2059009172fd2e304669050f6} Every ten second 
2022-08-09 11:39:20.336 {348063d2059009172fd2e304669050f6} Every ten second 
2022-08-09 11:39:30.327 {348063d2059009172fd2e304669050f6} Every ten second 
2022-08-09 11:39:40.325 {348063d2059009172fd2e304669050f6} Every ten second 
2022-08-09 11:39:50.328 {348063d2059009172fd2e304669050f6} Every ten second 
2022-08-09 11:40:00.027 {b844a1f71d9009176f0b926328ecb238} Every ten second 
2022-08-09 11:40:10.036 {b844a1f71d9009176f0b926328ecb238} Every ten second 
2022-08-09 11:40:20.030 {b844a1f71d9009176f0b926328ecb238} Every ten second 
2022-08-09 11:40:30.030 {b844a1f71d9009176f0b926328ecb238} Every ten second 
2022-08-09 11:40:40.024 {b844a1f71d9009176f0b926328ecb238} Every ten second 
2022-08-09 11:40:50.038 {b844a1f71d9009176f0b926328ecb238} Every ten second 
2022-08-09 11:41:00.036 {b844a1f71d9009176f0b926328ecb238} Every ten second 
2022-08-09 11:41:10.028 {b844a1f71d9009176f0b926328ecb238} Every ten second 
2022-08-09 11:41:20.030 {b844a1f71d9009176f0b926328ecb238} Every ten second 
2022-08-09 11:41:30.028 {b844a1f71d9009176f0b926328ecb238} Every ten second 
2022-08-09 11:41:40.027 {b844a1f71d9009176f0b926328ecb238} Every ten second 
2022-08-09 11:41:50.039 {b844a1f71d9009176f0b926328ecb238} Every ten second 
2022-08-09 11:42:00.034 {b844a1f71d9009176f0b926328ecb238} Every ten second 
2022-08-09 11:42:10.028 {b844a1f71d9009176f0b926328ecb238} Every ten second 
2022-08-09 11:42:20.027 {b844a1f71d9009176f0b926328ecb238} Every ten second 
2022-08-09 11:42:30.024 {b844a1f71d9009176f0b926328ecb238} Every ten second 
2022-08-09 11:42:40.038 {b844a1f71d9009176f0b926328ecb238} Every ten second 
2022-08-09 11:42:50.032 {b844a1f71d9009176f0b926328ecb238} Every ten second 
2022-08-09 11:43:00.031 {b844a1f71d9009176f0b926328ecb238} Every ten second 
2022-08-09 11:43:10.026 {b844a1f71d9009176f0b926328ecb238} Every ten second 
2022-08-09 11:43:20.035 {b844a1f71d9009176f0b926328ecb238} Every ten second 
2022-08-09 11:43:30.026 {b844a1f71d9009176f0b926328ecb238} Every ten second 
2022-08-09 11:43:40.026 {b844a1f71d9009176f0b926328ecb238} Every ten second 
2022-08-09 11:43:50.039 {b844a1f71d9009176f0b926328ecb238} Every ten second 
2022-08-09 11:44:00.506 {8cca9e6c5690091721cfb76cb138c61b} Every ten second 
2022-08-09 11:44:10.514 {8cca9e6c5690091721cfb76cb138c61b} Every ten second 
2022-08-09 11:44:20.517 {8cca9e6c5690091721cfb76cb138c61b} Every ten second 
2022-08-09 11:44:30.516 {8cca9e6c5690091721cfb76cb138c61b} Every ten second 
2022-08-09 11:44:40.508 {8cca9e6c5690091721cfb76cb138c61b} Every ten second 
2022-08-09 11:44:50.514 {8cca9e6c5690091721cfb76cb138c61b} Every ten second 
2022-08-09 11:45:00.513 {8cca9e6c5690091721cfb76cb138c61b} Every ten second 
2022-08-09 11:45:10.517 {8cca9e6c5690091721cfb76cb138c61b} Every ten second 
2022-08-09 11:45:20.519 {8cca9e6c5690091721cfb76cb138c61b} Every ten second 
2022-08-09 11:45:30.513 {8cca9e6c5690091721cfb76cb138c61b} Every ten second 
2022-08-09 11:45:40.506 {8cca9e6c5690091721cfb76cb138c61b} Every ten second 
2022-08-09 11:45:50.517 {8cca9e6c5690091721cfb76cb138c61b} Every ten second 
2022-08-09 11:46:00.609 {8cca9e6c5690091721cfb76cb138c61b} Every ten second 
2022-08-09 11:46:10.606 {8cca9e6c5690091721cfb76cb138c61b} Every ten second 
2022-08-09 11:46:20.611 {8cca9e6c5690091721cfb76cb138c61b} Every ten second 
2022-08-09 11:46:30.616 {8cca9e6c5690091721cfb76cb138c61b} Every ten second 
2022-08-09 11:46:40.608 {8cca9e6c5690091721cfb76cb138c61b} Every ten second 
2022-08-09 11:46:50.611 {8cca9e6c5690091721cfb76cb138c61b} Every ten second 
2022-08-09 11:47:00.612 {8cca9e6c5690091721cfb76cb138c61b} Every ten second 
2022-08-09 11:47:10.618 {8cca9e6c5690091721cfb76cb138c61b} Every ten second 
2022-08-09 11:47:20.606 {8cca9e6c5690091721cfb76cb138c61b} Every ten second 
2022-08-09 11:47:30.618 {8cca9e6c5690091721cfb76cb138c61b} Every ten second 
2022-08-09 11:47:40.611 {8cca9e6c5690091721cfb76cb138c61b} Every ten second 
2022-08-09 11:47:50.618 {8cca9e6c5690091721cfb76cb138c61b} Every ten second 
2022-08-09 11:48:00.618 {8cca9e6c5690091721cfb76cb138c61b} Every ten second 
2022-08-09 11:48:10.613 {8cca9e6c5690091721cfb76cb138c61b} Every ten second 
2022-08-09 11:48:20.716 {8cca9e6c5690091721cfb76cb138c61b} Every ten second 
2022-08-09 11:48:30.708 {8cca9e6c5690091721cfb76cb138c61b} Every ten second 
2022-08-09 11:48:40.709 {8cca9e6c5690091721cfb76cb138c61b} Every ten second 
2022-08-09 11:48:50.716 {8cca9e6c5690091721cfb76cb138c61b} Every ten second 
2022-08-09 11:49:00.712 {8cca9e6c5690091721cfb76cb138c61b} Every ten second 
2022-08-09 11:49:10.710 {8cca9e6c5690091721cfb76cb138c61b} Every ten second 
2022-08-09 11:49:20.718 {8cca9e6c5690091721cfb76cb138c61b} Every ten second 
2022-08-09 11:49:30.716 {8cca9e6c5690091721cfb76cb138c61b} Every ten second 
2022-08-09 11:49:40.713 {8cca9e6c5690091721cfb76cb138c61b} Every ten second 
